,Date,daily_returns
0,2014-05-31,
1,2014-06-30,0.010000000000000009
2,2014-07-31,-0.026079869600652006
3,2014-08-31,-0.009843770197848933
4,2014-09-30,0.006392329204954139
5,2014-10-31,0.009345794392523255
6,2014-11-30,-0.004747650261967995
7,2014-12-31,-0.018841094916459245
8,2015-01-31,-0.01762562389808901
9,2015-02-28,-0.01641015287971877
10,2015-03-31,-0.015194681861348536
11,2015-04-30,-0.027052238805970075
12,2015-05-31,-0.009831933730000741
13,2015-06-30,0.007388371345968592
14,2015-07-31,-0.008499509643674408
15,2015-08-31,-0.004590395480225995
16,2015-09-30,0.011367803447011271
17,2015-10-31,0.007891032453556601
18,2015-11-30,0.004414261460101931
19,2015-12-31,-0.019008572493477427
20,2016-01-31,-0.010742420790692486
21,2016-02-29,-0.0024762690879075455
22,2016-03-31,-0.005111354508944843
23,2016-04-30,-0.004947068246899722
24,2016-05-31,-0.0047827819848546005
25,2016-06-30,0.012711864406779627
26,2016-07-31,0.006921969939238881
27,2016-08-31,0.0011320754716981352
28,2016-09-30,0.007486631016042855
29,2016-10-31,-0.00140696447414701
30,2016-11-30,-0.008611410118406937
31,2016-12-31,-0.005456642250916743
32,2017-01-31,-0.00230187438342655
33,2017-02-28,0.0005842827928719263
34,2017-03-31,-0.0016675931072817063
35,2017-04-30,-0.0038270292449474885
36,2017-05-31,-0.005986465382613271
37,2017-06-30,0.0025055679287304677
38,2017-07-31,-0.005350454788657144
39,2017-08-31,0.003917727717923425
40,2017-09-30,0.008916637371437663
41,2017-10-31,0.013915547024951902
42,2017-11-30,0.013924946896389123
43,2017-12-31,0.008399943500901785
44,2018-01-31,0.0028749401054144474
45,2018-02-28,-0.0015695067264573925
46,2018-03-31,0.008333038652542646
47,2018-04-30,0.018235584031542684
48,2018-05-31,-0.0034129692832765013
49,2018-06-30,-0.0007587171605936138
50,2018-07-31,0.0018955349620892736
51,2018-08-31,0.011553501599715688
52,2018-09-30,0.018808815303889337
53,2018-10-31,0.026064129008062986
54,2018-11-30,-0.005346402316774412
55,2018-12-31,0.00972862263184826
56,2019-01-31,0.0072621641249090985
57,2019-02-28,-0.00983531564501372
58,2019-03-31,-0.01449732546669058
59,2019-04-30,-0.01915933528836744
60,2019-05-31,-0.018169582772543658
61,2019-06-30,0.0010684653187089665
62,2019-07-31,0.02030651340996159
63,2019-08-31,0.021851300938210527
64,2019-09-30,0.023396088466459464
65,2019-10-31,0.022525485037816484
66,2019-11-30,0.01489885667917168
67,2019-12-31,0.0072722283205268745
68,2020-01-31,-0.04433740891688287
69,2020-02-29,-0.023189112621706753
70,2020-03-31,-0.0020408163265306367
71,2020-04-30,0.021131655776449376
72,2020-05-31,0.014711764869982602
73,2020-06-30,0.008291873963515828
74,2020-07-31,0.1046886370724609
75,2020-08-31,0.033891515102956404
76,2020-09-30,0.015075817337189878
77,2020-10-31,0.01808769853050418
78,2020-11-30,0.021099579723818485
79,2020-12-31,-0.00770266227938976
80,2021-01-31,0.0011201044909712188
81,2021-02-28,0.009942871261332198
82,2021-03-31,0.018765638031693177
83,2021-04-30,-0.015133353311357345
84,2021-05-31,-0.005256106715093356
85,2021-06-30,0.004621139881170633
86,2021-07-31,-0.0019018125045557333
87,2021-08-31,-0.0084247648902821
88,2021-09-30,-0.009311769236154954
89,2021-10-31,0.011132932156760311
90,2021-11-30,0.03157763354967558
91,2021-12-31,-0.0035353535353535026
92,2022-01-31,0.026125755885633595
93,2022-02-28,0.0016378525932667642
94,2022-03-31,-0.01777577769027394
95,2022-04-30,-0.01156097090875624
96,2022-05-31,-0.00534616412723854
97,2022-06-30,-0.018027723910076787
98,2022-07-31,-0.014331337255522936
99,2022-08-31,-0.010634950600969084
100,2022-09-30,-0.030039303761931535
101,2022-10-31,-0.015410299216643164
102,2022-11-30,0.04859389388680335
103,2022-12-31,0.028807436453891166
104,2023-01-31,0.00902097902097898
105,2023-02-28,-0.0034478096268252267
106,2023-03-31,0.015644247351564333
107,2023-04-30,0.007681119727671604
108,2023-05-31,-0.0002820078962211259
109,2023-06-30,0.02310248430824413
110,2023-07-31,0.0031660113363629616
111,2023-08-31,0.0011723954169997608
112,2023-09-30,0.0019955582111718106
113,2023-10-31,0.0028187210053438605
114,2023-11-30,0.003062787136294043
115,2023-12-31,-0.008147398178289855
116,2024-01-31,-0.019357583492873753
117,2024-02-29,-0.0036930878624186203
118,2024-03-31,-0.010981990617088211
119,2024-04-30,-0.0182708933717578
120,2024-05-31,-0.0182708933717578
