,DATE,GDP
0,1947-01-01,-0.9354963678975644
1,1947-04-01,-0.9351208080630812
2,1947-07-01,-0.9346363573065456
3,1947-10-01,-0.9332755556238247
4,1948-01-01,-0.9324723343943683
5,1948-04-01,-0.9315582131852571
6,1948-07-01,-0.9306703436621512
7,1948-10-01,-0.9305136371691607
8,1949-01-01,-0.9312277901782422
9,1949-04-01,-0.9317210807882285
10,1949-07-01,-0.9315150854153913
11,1949-10-01,-0.9318180513018396
12,1950-01-01,-0.9304517581950054
13,1950-04-01,-0.9291719885022498
14,1950-07-01,-0.9267919249292231
15,1950-10-01,-0.9252125377793566
16,1951-01-01,-0.9230621764588759
17,1951-04-01,-0.921978624725292
18,1951-07-01,-0.9210015530446376
19,1951-10-01,-0.9203595921720706
20,1952-01-01,-0.9198717929861977
21,1952-04-01,-0.9197097290062674
22,1952-07-01,-0.9188162341218745
23,1952-10-01,-0.9170601838401665
24,1953-01-01,-0.916100122180546
25,1953-04-01,-0.9155953129736392
26,1953-07-01,-0.9156727286599199
27,1953-10-01,-0.9163693358992734
28,1954-01-01,-0.9164530466327084
29,1954-04-01,-0.9163491113860754
30,1954-07-01,-0.9156961676652817
31,1954-10-01,-0.9145258246432724
32,1955-01-01,-0.9127392366860072
33,1955-04-01,-0.9116062621354033
34,1955-07-01,-0.9104424820348953
35,1955-10-01,-0.9095221997158033
36,1956-01-01,-0.9091667304573445
37,1956-04-01,-0.9083277480025647
38,1956-07-01,-0.9076338195066811
39,1956-10-01,-0.9063919540340248
40,1957-01-01,-0.9051441953257348
41,1957-04-01,-0.9048433724340624
42,1957-07-01,-0.9038435314339136
43,1957-10-01,-0.9044631247985069
44,1958-01-01,-0.9054440806571926
45,1958-04-01,-0.9048496674812166
46,1958-07-01,-0.9029928964450396
47,1958-10-01,-0.9011560820477134
48,1959-01-01,-0.8997129090032924
49,1959-04-01,-0.8980624012142993
50,1959-07-01,-0.8977434968042051
51,1959-10-01,-0.8972658768435177
52,1960-01-01,-0.8953843274302439
53,1960-04-01,-0.8955943409182858
54,1960-07-01,-0.8949884091453892
55,1960-10-01,-0.8957126074424829
56,1961-01-01,-0.895066896329058
57,1961-04-01,-0.893656939703664
58,1961-07-01,-0.8920337550980643
59,1961-10-01,-0.8902995365756361
60,1962-01-01,-0.8885046445136142
61,1962-04-01,-0.8876537416503931
62,1962-07-01,-0.886493711790743
63,1962-10-01,-0.8860580141653601
64,1963-01-01,-0.8848000762318843
65,1963-04-01,-0.8837178638700354
66,1963-07-01,-0.8817500589170298
67,1963-10-01,-0.8804784593918574
68,1964-01-01,-0.8783510013280447
69,1964-04-01,-0.8771653894682567
70,1964-07-01,-0.8753763906418687
71,1964-10-01,-0.874668130868421
72,1965-01-01,-0.8719263029897815
73,1965-04-01,-0.8702653481012557
74,1965-07-01,-0.8677028620979274
75,1965-10-01,-0.8646847218303652
76,1966-01-01,-0.8614867039387976
77,1966-04-01,-0.8602481868954788
78,1966-07-01,-0.8582850697435457
79,1966-10-01,-0.8564549522048943
80,1967-01-01,-0.8549993230033381
81,1967-04-01,-0.8543546833873011
82,1967-07-01,-0.8521782043179887
83,1967-10-01,-0.8500076184843102
84,1968-01-01,-0.8462643423594399
85,1968-04-01,-0.8429216723204965
