,Date,daily_returns
0,2014-05-31,
1,2014-06-30,-0.013017751479289852
2,2014-07-31,-0.009603359454777083
3,2014-08-31,-0.005663006170110341
4,2014-09-30,-0.0017226528854435985
5,2014-10-31,0.01954397394136831
6,2014-11-30,0.003710736438995499
7,2014-12-31,-0.012122501063377311
8,2015-01-31,-0.01056376372975154
9,2015-02-28,-0.00900502639612577
10,2015-03-31,-0.0074462890625
11,2015-04-30,-0.008560945780676787
12,2015-05-31,-0.006759625470910857
13,2015-06-30,-0.004958305161144927
14,2015-07-31,-0.0038395904436859807
15,2015-08-31,-0.00933302982016837
16,2015-09-30,0.01887661141804786
17,2015-10-31,0.013332242293485286
18,2015-11-30,0.00778787316892271
19,2015-12-31,-0.014739833066950925
20,2016-01-31,-0.01146348378493739
21,2016-02-29,-0.008187134502923854
22,2016-03-31,0.003269754768392419
23,2016-04-30,0.008133348332208468
24,2016-05-31,0.012996941896024516
25,2016-06-30,0.012465373961218829
26,2016-07-31,0.002518746749135936
27,2016-08-31,-0.007427880462946956
28,2016-09-30,0.0034843205574912606
29,2016-10-31,0.0008351428094204305
30,2016-11-30,-0.013586511704043347
31,2016-12-31,-0.010478193668695956
32,2017-01-31,-0.007369875633348566
33,2017-02-28,-0.0038922621827807147
34,2017-03-31,0.0022827575711459325
35,2017-04-30,-0.0029063417086749865
36,2017-05-31,-0.008095440988495906
37,2017-06-30,0.0064242955175939365
38,2017-07-31,-0.004654983570646309
39,2017-08-31,0.010268882583434502
40,2017-09-30,0.0009027092616779586
41,2017-10-31,-0.008463464060078585
42,2017-11-30,0.00995920326373878
43,2017-12-31,0.01721811791394834
44,2018-01-31,0.024477032564157897
45,2018-02-28,-0.0045647558386412435
46,2018-03-31,-0.01428404771685765
47,2018-04-30,-0.024003339595074058
48,2018-05-31,-0.0011116725618999235
49,2018-06-30,0.00281324410246081
50,2018-07-31,0.006738160766821544
51,2018-08-31,0.0033943724877176784
52,2018-09-30,0.016543421662734703
53,2018-10-31,0.029692470837751728
54,2018-11-30,0.0063526635810873255
55,2018-12-31,0.01175415878075503
56,2019-01-31,-0.01833051325437096
57,2019-02-28,-0.0012481055540697339
58,2019-03-31,0.0025739128544670087
59,2019-04-30,0.006395931263003751
60,2019-05-31,-0.01630478008430758
61,2019-06-30,-0.02268748088647149
62,2019-07-31,-0.0290701816886354
63,2019-08-31,-0.009815712350162431
64,2019-09-30,0.009438756988310537
65,2019-10-31,-0.008574787359103886
66,2019-11-30,-0.00393838676286945
67,2019-12-31,0.0006980138333649855
68,2020-01-31,-0.014758652621831292
69,2020-02-29,-0.015243022248006
70,2020-03-31,-0.015727391874180707
71,2020-04-30,0.010032125345206477
72,2020-05-31,0.017790704881835206
73,2020-06-30,0.025549284418463936
74,2020-07-31,0.005443845022069516
75,2020-08-31,-0.0147656284129134
76,2020-09-30,0.014812313036765445
77,2020-10-31,0.0047113649001139235
78,2020-11-30,-0.005389583236537598
79,2020-12-31,0.0033381450739804475
80,2021-01-31,0.007861257811522915
81,2021-02-28,0.012384370549065382
82,2021-03-31,0.01690748328660785
83,2021-04-30,-0.0013068789354876431
84,2021-05-31,-0.0015745890624380143
85,2021-06-30,-0.0018422991893883855
86,2021-07-31,-0.0037374478917395204
87,2021-08-31,-0.005632596594090655
88,2021-09-30,-0.007323943661971755
89,2021-10-31,-0.012633245930145198
90,2021-11-30,-0.017942548198318642
91,2021-12-31,-0.008841211835435625
92,2022-01-31,0.00882372023616429
93,2022-02-28,0.004977969123137527
94,2022-03-31,-0.01768304339514437
95,2022-04-30,-0.011348475291482307
96,2022-05-31,-0.0050139071878202435
97,2022-06-30,-0.013179128563743925
98,2022-07-31,-0.009441600635828662
99,2022-08-31,-0.005704072707913399
100,2022-09-30,-0.01936842105263159
101,2022-10-31,-0.01585619197015309
102,2022-11-30,0.061623600882120266
103,2022-12-31,0.04131816606258376
104,2023-01-31,0.021012731243047256
105,2023-02-28,-0.0029581068116405485
106,2023-03-31,0.01496215455025518
107,2023-04-30,0.0032239594344826705
108,2023-05-31,-0.008514235681289839
109,2023-06-30,0.01638561408744965
110,2023-07-31,-0.007240594615361862
111,2023-08-31,-0.003132698683050106
112,2023-09-30,-0.00038049656514721475
113,2023-10-31,0.0023717055527556763
114,2023-11-30,0.0001583740266595246
115,2023-12-31,-0.013393976793909745
116,2024-01-31,-0.026946327614479015
117,2024-02-29,0.014519768468556737
118,2024-03-31,-0.00879978015354016
119,2024-04-30,-0.03211932877563706
120,2024-05-31,-0.03211932877563706
